folder,sabre_mean_swaps,sabre_std_swaps,sabre_mean_depth,sabre_std_depth,sabre_mean_latency,sabre_std_latency,sabre_mean_error,sabre_std_error,sabre_n,qroqi_mean_swaps,qroqi_std_swaps,qroqi_mean_depth,qroqi_std_depth,qroqi_mean_latency,qroqi_std_latency,qroqi_mean_error,qroqi_std_error,qroqi_n
3_1,54250.0,3691.20576505835,18114.333333333332,1230.4019216861168,1125658.6666666667,83283.98538868215,40.03360767014092,4.316752459100254,3,9441.666666666666,679.8692684790379,7056.0,93.54143466934853,442592.0,1061.4455552060438,15.874140056566022,1.3010306947240198,3
3_2,54666.666666666664,2276.0833806246105,18906.0,2778.2638463616086,1180992.0,162061.71663906315,37.56376740544621,2.1710128329061353,3,11033.333333333334,1239.175353029407,7481.0,320.80627591533596,456158.6666666667,20928.66189914895,15.249633087665908,2.7854037958278743,3
3_3,57250.0,3433.8996296727523,18614.333333333332,2341.5035530378527,1123825.3333333333,121962.65366450866,37.16266885084703,2.6128585008176284,3,10300.0,726.5787408579105,7406.0,93.54143466934853,458892.0,2515.2865973217977,16.361036746084608,0.7193232705995212,3
3_4,57500.0,1814.2950880897702,21906.666666666668,974.0381010115683,1367013.3333333333,45612.500781644885,44.44667309950792,0.6581519431343871,3,10075.0,1250.9996003196804,7698.333333333333,241.59240238237808,477390.6666666667,8821.312575549942,15.22599183321881,2.235203799148563,3
3_5,61666.666666666664,3885.5144089582554,21864.666666666668,2446.1875552695374,1342002.6666666667,163164.8825397862,48.377533662953624,4.622843346105367,3,12450.0,601.3872850889572,7498.0,290.07700127150144,453892.0,15093.265606444043,13.083360580971346,1.882117769661542,3
4_1,278333.3333333333,2124.5914639969938,92031.0,5376.453291901642,5824992.0,321733.5854398791,203.74499995869832,26.169692072618496,3,41625.0,3611.3247800034087,34906.0,0.0,2176825.3333333335,22156.01247717849,68.237452474787,9.986667212945212,3
4_2,281666.6666666667,16212.563715286433,95156.0,6373.774391990981,5969992.0,384886.3468609922,224.96785827992503,17.177283695933188,3,50000.0,7310.808208855343,36614.333333333336,1300.373877860603,2301158.6666666665,87630.2205609204,74.0159143993542,9.519360347274764,3
4_3,269583.3333333333,11471.58324828017,93072.66666666667,1284.2529172852035,5823325.333333333,95771.71932372428,196.80299872177162,13.829754030990497,3,53958.333333333336,3339.057584941529,37406.0,540.0617248673217,2264992.0,65887.53043381324,67.09364067060488,7.158718737212007,3
4_4,294166.6666666667,16904.552312583994,105989.33333333333,7436.070123989478,6549992.0,535447.6320487995,215.95206236549177,9.737578805691452,3,47791.666666666664,4534.9721302585995,36281.0,1177.0372409854613,2207658.6666666665,93122.08235548764,61.25221058797631,19.42929857670358,3
4_5,283750.0,3679.900360969936,101197.66666666667,5111.601727660541,6376658.666666667,296818.7812266752,206.33074451436175,5.330358285828875,3,54875.0,810.0925873009825,38447.666666666664,562.1140651346684,2395825.3333333335,58489.79018218099,67.2455669065005,8.755543065342241,3
5_1,1302083.3333333333,79111.82310853136,455989.3333333333,75705.59296086093,28470825.333333332,4916324.140611108,1020.11883056692,60.44581083715798,3,279375.0,23435.416574065843,185781.0,7015.6076002011405,11319158.666666666,425290.7502194495,291.3154372185851,18.399647511257257,3
5_2,1402083.3333333333,77951.19555779044,484114.3333333333,48568.930111978196,30095825.333333332,2838065.900495539,939.4898713816091,97.28709901675117,3,290208.3333333333,63172.0809025281,214322.66666666666,41326.738385161196,13252492.0,2629612.614055538,380.2725459619855,31.44884853354604,3
5_3,1400000.0,25515.518153991437,464322.6666666667,52124.983346653346,29449992.0,3447689.443670935,1096.8004878810957,74.05671938262228,3,251666.66666666666,23861.216207244946,183697.66666666666,5690.208451561526,11027492.0,452235.18954927276,374.8526645806737,59.40944675318763,3
