backend,qubits,leaf_depth,seed,time_s
ibm_kingston,121,50,63,1.783862
ibm_kingston,121,50,84,1.168628
ibm_kingston,121,50,105,1.757045
ibm_kingston,121,50,126,1.170006
ibm_kingston,121,50,147,1.662677
ibm_kingston,121,50,168,1.69309
ibm_kingston,121,50,189,1.19979
ibm_kingston,121,60,3,1.259622
ibm_kingston,121,60,21,1.89215
ibm_kingston,121,60,42,2.080777
ibm_kingston,121,60,63,1.401857
ibm_kingston,121,60,84,1.547361
ibm_kingston,121,60,105,2.11478
ibm_kingston,121,60,126,1.354824
ibm_kingston,121,60,147,1.403422
ibm_kingston,121,60,168,1.988685
ibm_kingston,121,60,189,1.948433
ibm_kingston,121,70,3,2.245744
ibm_kingston,121,70,21,2.324929
ibm_kingston,121,70,42,2.31101
ibm_kingston,121,70,63,1.535135
ibm_kingston,121,70,84,1.481399
ibm_kingston,121,70,105,1.555228
ibm_kingston,121,70,126,1.599814
ibm_kingston,121,70,147,1.474903
ibm_kingston,121,70,168,1.582983
ibm_kingston,121,70,189,1.487395
ibm_kingston,121,80,3,2.442499
ibm_kingston,121,80,21,1.753632
ibm_kingston,121,80,42,2.394444
ibm_kingston,121,80,63,1.857648
ibm_kingston,121,80,84,1.73377
ibm_kingston,121,80,105,2.490058
ibm_kingston,121,80,126,1.70773
ibm_kingston,121,80,147,1.706508
ibm_kingston,121,80,168,2.545523
ibm_kingston,121,80,189,1.749886
ibm_kingston,121,90,3,2.311178
ibm_kingston,121,90,21,2.337683
ibm_kingston,121,90,42,2.406869
ibm_kingston,121,90,63,2.527535
ibm_kingston,121,90,84,2.304206
ibm_kingston,121,90,105,2.573934
ibm_kingston,121,90,126,2.49316
ibm_kingston,121,90,147,1.876329
ibm_kingston,121,90,168,1.909185
ibm_kingston,121,90,189,2.454949
ibm_brisbane_old,54,10,3,0.142441
ibm_brisbane_old,54,10,21,0.13537
ibm_brisbane_old,54,10,42,0.134703
ibm_brisbane_old,54,10,63,0.128979
ibm_brisbane_old,54,10,84,0.139273
ibm_brisbane_old,54,10,105,0.143471
ibm_brisbane_old,54,10,126,0.154363
ibm_brisbane_old,54,10,147,0.135719
ibm_brisbane_old,54,10,168,0.146735
ibm_brisbane_old,54,10,189,0.131524
ibm_brisbane_old,54,20,3,0.192274
ibm_brisbane_old,54,20,21,0.192917
ibm_brisbane_old,54,20,42,0.199397
ibm_brisbane_old,54,20,63,0.179854
ibm_brisbane_old,54,20,84,0.184096
ibm_brisbane_old,54,20,105,0.187961
ibm_brisbane_old,54,20,126,0.181217
ibm_brisbane_old,54,20,147,0.19767
ibm_brisbane_old,54,20,168,0.208612
ibm_brisbane_old,54,20,189,0.177877
ibm_brisbane_old,54,30,3,0.230546
ibm_brisbane_old,54,30,21,0.247125
ibm_brisbane_old,54,30,42,0.255711
ibm_brisbane_old,54,30,63,0.243067
ibm_brisbane_old,54,30,84,0.226305
ibm_brisbane_old,54,30,105,0.2388
ibm_brisbane_old,54,30,126,0.250678
ibm_brisbane_old,54,30,147,0.233014
ibm_brisbane_old,54,30,168,0.256616
ibm_brisbane_old,54,30,189,0.238963
ibm_brisbane_old,54,40,3,0.284234
ibm_brisbane_old,54,40,21,0.395995
ibm_brisbane_old,54,40,42,0.292284
ibm_brisbane_old,54,40,63,0.282285
ibm_brisbane_old,54,40,84,0.282959
ibm_brisbane_old,54,40,105,0.280127
ibm_brisbane_old,54,40,126,0.296405
ibm_brisbane_old,54,40,147,0.301824
ibm_brisbane_old,54,40,168,0.421319
ibm_brisbane_old,54,40,189,0.292089
ibm_brisbane_old,54,50,3,0.332243
ibm_brisbane_old,54,50,21,0.345212
ibm_brisbane_old,54,50,42,0.448817
ibm_brisbane_old,54,50,63,0.367035
ibm_brisbane_old,54,50,84,0.356073
ibm_brisbane_old,54,50,105,0.323748
ibm_brisbane_old,54,50,126,0.324606
ibm_brisbane_old,54,50,147,0.44828
ibm_brisbane_old,54,50,168,0.348684
ibm_brisbane_old,54,50,189,0.360177
ibm_brisbane_old,54,60,3,0.528917
ibm_brisbane_old,54,60,21,0.545632
ibm_brisbane_old,54,60,42,0.547086
ibm_brisbane_old,54,60,63,0.52739
