"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"31","242.09871955513142","273.0306200728128","0.021728515625","0.0185546875","0.02490234375","2280","0.00017438914673135406","32","0.00017438914673135406","0","0.00017438914673135406","0.00017438914673135406","30:0.009583892686607531;32:0.004201935428623987;18:0.004968998470662955","30:68;32:68;18:68","30:0.0017754214104553356;32:0.003283128786537942;18:0.0026854312483121645","0.021728515625","0.208251953125","Yes"
"32","260.50578228215335","286.8410811014571","0.018310546875","0.025390625","0.01123046875","2280","0.0001938166783639965","32","0.0001938166783639965","0","0.0001938166783639965","0.0001938166783639965","31:0.004201935428623987;33:0.0035014516962021125","31:68;33:68","31:0.003283128786537942;33:0.0017428631414351803","0.018310546875","0.009521484375","Yes"
"33","425.56984499016363","435.29415528014806","0.0078125","0.00634765625","0.00927734375","2280","0.00013581287626944234","32","0.00013581287626944234","0","0.00013581287626944234","0.00013581287626944234","39:0.002296384720307215;32:0.0035014516962021125;34:0.0020178650700678202","39:68;32:68;34:108","39:0.0010985849573015294;32:0.0017428631414351803;34:0.0015535827029415639","0.0078125","0.013427734375","Yes"
"34","315.0795007385337","335.474863159378","0.02294921875","0.02294921875","0.02294921875","2280","0.00016808727887816533","32","0.00016808727887816533","0","0.00016808727887816533","0.00016808727887816533","33:0.0020178650700678202;35:0.001481400503466318","33:108;35:68","33:0.0015535827029415639;35:0.001707663813786231","0.02294921875","0.014404296875","Yes"
"35","335.17004748368953","390.21017014100283","0.02392578125","0.03662109375","0.01123046875","2280","0.00015653171755999106","32","0.00015653171755999106","0","0.00015653171755999106","0.00015653171755999106","19:0.0010847850818545002;34:0.001481400503466318","19:68;34:68","19:0.001638300343745347;34:0.001707663813786231","0.02392578125","0.044677734375","Yes"
"36","171.4339139902075","152.69037795718845","0.04248046875","0.02685546875","0.05810546875","2280","0.0002995770439640953","32","0.0002995770439640953","0","0.0002995770439640953","0.0002995770439640953","41:0.001916102722788554;21:0.0015809243165174347","41:68;21:68","41:0.001788158821393493;21:0.0010413829656727158","0.04248046875","0.02685546875","Yes"
"37","220.84008218688595","28.15651718373298","0.00439453125","0.00732421875","0.00146484375","2280","0.00017935971133456273","32","0.00017935971133456273","0","0.00017935971133456273","0.00017935971133456273","45:0.0022322453623002947;25:0.0033093310886539717","45:68;25:68","45:0.0018024561704606534;25:0.0031013025548493056","0.00439453125","0.047119140625","Yes"
"38","231.30163086817564","114.53852727709742","0.005859375","0.00927734375","0.00244140625","2280","0.00017630995612927488","32","0.00017630995612927488","0","0.00017630995612927488","0.00017630995612927488","29:0.010066312545035816;49:0.0016615047221983092","29:68;49:68","29:0.004317965633936882;49:0.0015089630133244547","0.005859375","0.0048828125","Yes"
"39","204.48610430473823","133.76420342546493","0.01123046875","0.01416015625","0.00830078125","2280","0.00021024878388166778","32","0.00021024878388166778","0","0.00021024878388166778","0.00021024878388166778","53:0.0014483602367625636;33:0.002296384720307215","53:68;33:68","53:0.0011970296175829176;33:0.0010985849573015294","0.01123046875","0.03662109375","Yes"
"40","313.518604232302","72.4627048280613","0.012451171875","0.00830078125","0.0166015625","2280","0.00019942098876212514","32","0.00019942098876212514","0","0.00019942098876212514","0.00019942098876212514","41:0.0025133690684290277","41:68","41:0.0023664657065627925","0.012451171875","0.03125","Yes"
"41","188.56242116342685","59.120919100980664","0.002197265625","0.00341796875","0.0009765625","2280","0.00025585865264453187","32","0.00025585865264453187","0","0.00025585865264453187","0.00025585865264453187","40:0.0025133690684290277;42:0.0020643180685077644;36:0.001916102722788554","40:68;42:68;36:68","40:0.0023664657065627925;42:0.0020664925344304197;36:0.001788158821393493","0.002197265625","0.0048828125","Yes"
"42","305.34040406534376","127.57034734715015","0.0078125","0.0068359375","0.0087890625","2280","0.00020483870580291808","32","0.00020483870580291808","0","0.00020483870580291808","0.00020483870580291808","41:0.0020643180685077644;43:0.004069314155836973","41:68;43:68","41:0.0020664925344304197;43:0.0030133807481313446","0.0078125","0.005859375","Yes"
"43","287.9312573098499","60.016075316770284","0.00537109375","0.0048828125","0.005859375","2280","0.0004920773326139531","32","0.0004920773326139531","0","0.0004920773326139531","0.0004920773326139531","42:0.004069314155836973;56:0.0037754602466620324;44:0.006400040218686759","42:68;56:68;44:68","42:0.0030133807481313446;56:0.00319950357934215;44:0.004554569112083268","0.00537109375","0.003173828125","Yes"
