"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"46","64.54623665830636","4.98574279719817","0.0576171875","0.115234375","0","2200","0.008943594273328546","32","0.008943594273328546","0","0.008943594273328546","0.008943594273328546","45:0.10952884667434422;47:0.03179288265134381","45:68;47:68","45:0.1337367280410813;47:0.054825058867849885","0.0576171875","0.024169921875","Yes"
"47","265.40197650361347","266.1797696871083","0.00439453125","0.00732421875","0.00146484375","2200","0.00016404567246633252","32","0.00016404567246633252","0","0.00016404567246633252","0.00016404567246633252","48:0.0011572927118154719;57:0.0009306988920526615;46:0.03179288265134381","48:68;57:68;46:68","48:0.0012791901211494094;57:0.0012851842082905462;46:0.054825058867849885","0.00439453125","0.003173828125","Yes"
"48","259.88676582444674","329.7902086468379","0.00390625","0.00537109375","0.00244140625","2200","0.00008561250636627428","32","0.00008561250636627428","0","0.00008561250636627428","0.00008561250636627428","47:0.0011572927118154719;49:0.0013887454528595244","47:68;49:68","47:0.0012791901211494094;49:0.0011528989335714834","0.00390625","0.00244140625","Yes"
"49","293.8350323010724","251.1565688679823","0.004638671875","0.00390625","0.00537109375","2200","0.0003620401923265517","32","0.0003620401923265517","0","0.0003620401923265517","0.0003620401923265517","48:0.0013887454528595244;50:0.0012625504534431176;38:0.0010636009950967251","48:68;50:68;38:68","48:0.0011528989335714834;50:0.0011722382321768532;38:0.0009186208600554524","0.004638671875","0.004150390625","Yes"
"50","229.1093688725408","200.70758261696966","0.00341796875","0.00537109375","0.00146484375","2200","0.00019734251958029926","32","0.00019734251958029926","0","0.00019734251958029926","0.00019734251958029926","49:0.0012625504534431176;51:0.0011270296988244721","49:68;51:68","49:0.0011722382321768532;51:0.001137538245467501","0.00341796875","0.003173828125","Yes"
"51","264.1068401367845","250.58222409241407","0.001953125","0.00244140625","0.00146484375","2200","0.00017514969111723447","32","0.00017514969111723447","0","0.00017514969111723447","0.00017514969111723447","50:0.0011270296988244721;52:0.0008559290394278274;58:0.0009124216257025974","50:68;52:68;58:68","50:0.001137538245467501;52:0.0009995608228877961;58:0.0014419258786360911","0.001953125","0.001708984375","Yes"
"52","291.44161874314915","312.6051435642473","0.003173828125","0.0029296875","0.00341796875","2200","0.00014969203709918276","32","0.00014969203709918276","0","0.00014969203709918276","0.00014969203709918276","51:0.0008559290394278274;53:0.000991195028059083","51:68;53:68","51:0.0009995608228877961;53:0.0009807075935988896","0.003173828125","0.006103515625","Yes"
"53","329.13301821108337","331.1864741775136","0.014892578125","0.0126953125","0.01708984375","2200","0.0001581154176419339","32","0.0001581154176419339","0","0.0001581154176419339","0.0001581154176419339","39:0.0008627204428415525;52:0.000991195028059083;54:0.000850203429175328","39:68;52:68;54:88","39:0.0011951222556904062;52:0.0009807075935988896;54:0.001401238386120579","0.014892578125","0.009033203125","Yes"
"54","184.32632986788974","102.90299035531316","0.00390625","0.00341796875","0.00439453125","2200","0.00012057594527184552","32","0.00012057594527184552","0","0.00012057594527184552","0.00012057594527184552","53:0.000850203429175328;55:0.0007198752667350872","53:88;55:68","53:0.001401238386120579;55:0.0020128495725009743","0.00390625","0.002685546875","Yes"
"55","328.02006829233454","456.2002075579449","0.003173828125","0.001953125","0.00439453125","2200","0.00015828225822717737","32","0.00015828225822717737","0","0.00015828225822717737","0.00015828225822717737","59:0.0011645725909250892;54:0.0007198752667350872","59:68;54:68","59:0.0012277299896710225;54:0.0020128495725009743","0.003173828125","0.004638671875","Yes"
